Data,SI,Sudut,m,n,Status,
420,0,2.42208,5.2605, -1.#IND, FALSE, 
421,0,2.53354,3.59516, -1.#IND, FALSE, 
422,0,2.63214,2.36709, -1.#IND, FALSE, 
423,0,2.71916,1.50851, -1.#IND, FALSE, 
424,0,2.79825,0.913677, -1.#IND, FALSE, 
425,0,2.86035,0.564849, -1.#IND, FALSE, 
426,0,2.91575,0.336248, -1.#IND, FALSE, 
427,0,2.96276,0.194955, -1.#IND, FALSE, 
428,0,3.00521,0.105559, -1.#IND, FALSE, 
429,0,3.04189,0.052988, -1.#IND, FALSE, 
430,0,3.07415,0.0228485, -1.#IND, FALSE, 
431,0,3.10268,0.00722553, -1.#IND, FALSE, 
432,0,3.12776,0.000873891, -1.#IND, FALSE, 
433,0,3.13113,0.000481279, -1.#IND, FALSE, 
434,0,3.10803,0.0048024, -1.#IND, FALSE, 
435,0,3.08676,0.0124654, -1.#IND, FALSE, 
436,0,3.0664,0.0229005, -1.#IND, FALSE, 
437,0,3.04477,0.0371702, -1.#IND, FALSE, 
438,0,3.0241,0.0537542, -1.#IND, FALSE, 
439,0,3.00383,0.0728552, -1.#IND, FALSE, 
440,0,2.98416,0.0943885, -1.#IND, FALSE, 
441,0,2.96429,0.118595, -1.#IND, FALSE, 
442,0,2.94385,0.146828, -1.#IND, FALSE, 
443,0,2.92096,0.182997, -1.#IND, FALSE, 
444,0,2.89869,0.222612, -1.#IND, FALSE, 
445,0,2.87423,0.272405, -1.#IND, FALSE, 
446,0,2.84739,0.335046, -1.#IND, FALSE, 
447,0,2.82062,0.406487, -1.#IND, FALSE, 
448,0,2.79102,0.498055, -1.#IND, FALSE, 
449,0,2.75988,0.6091, -1.#IND, FALSE, 
450,0,2.72587,0.752152, -1.#IND, FALSE, 
451,0,2.6897,0.928175, -1.#IND, FALSE, 
452,0,2.6488,1.15636, -1.#IND, FALSE, 
453,0,2.60523,1.44328, -1.#IND, FALSE, 
454,0,2.55668,1.80945, -1.#IND, FALSE, 
455,0,2.50629,2.24807, -1.#IND, FALSE, 
456,0,2.45234,2.78017, -1.#IND, FALSE, 
