Data,STATUS,SI,
906,TRUE,2.36571, 
907,TRUE,2.35814, 
908,TRUE,2.3491, 
909,TRUE,2.3402, 
910,TRUE,2.33128, 
911,TRUE,2.32268, 
912,TRUE,2.31464, 
913,TRUE,2.30702, 
914,TRUE,2.29997, 
915,TRUE,2.29354, 
916,TRUE,2.2879, 
917,TRUE,2.28234, 
918,TRUE,2.27742, 
919,TRUE,2.27331, 
920,TRUE,2.27055, 
921,TRUE,2.26832, 
922,TRUE,2.2675, 
923,TRUE,2.26726, 
924,TRUE,2.26831, 
925,TRUE,2.27071, 
926,TRUE,2.27402, 
927,TRUE,2.27897, 
928,TRUE,2.28472, 
929,TRUE,2.29158, 
930,TRUE,2.29985, 
931,TRUE,2.30897, 
932,TRUE,2.31858, 
933,TRUE,2.32875, 
934,TRUE,2.33939, 
935,TRUE,2.35045, 
936,TRUE,2.3618, 
937,TRUE,2.37326, 
938,TRUE,2.38462, 
939,TRUE,2.39588, 
940,TRUE,2.40667, 
941,TRUE,2.4172, 
942,TRUE,2.42739, 
943,TRUE,2.43726, 
944,TRUE,2.447, 
945,TRUE,2.45593, 
946,TRUE,2.46416, 
947,TRUE,2.47224, 
948,TRUE,2.47979, 
949,TRUE,2.48631, 
950,TRUE,2.49247, 
951,TRUE,2.49802, 
952,TRUE,2.50309, 
953,TRUE,2.50804, 
954,TRUE,2.51224, 
955,TRUE,2.51461, 
956,TRUE,2.51743, 
957,TRUE,2.51902, 
958,TRUE,2.51951, 
959,TRUE,2.52017, 
960,TRUE,2.51975, 
961,TRUE,2.51938, 
962,TRUE,2.51777, 
963,TRUE,2.51589, 
964,TRUE,2.51296, 
965,TRUE,2.50921, 
966,TRUE,2.50533, 
967,TRUE,2.50182, 
968,TRUE,2.49839, 
969,TRUE,2.49374, 
970,TRUE,2.48894, 
971,TRUE,2.48469, 
972,TRUE,2.47966, 
973,TRUE,2.47425, 
974,TRUE,2.46876, 
975,TRUE,2.46267, 
976,TRUE,2.45648, 
977,TRUE,2.45035, 
